trade_no,symbol,event,date,sim_price,yf_open,yf_high,yf_low,yf_close,status,detail
1,ADANIENT,ENTRY,2025-05-06,2452.78,2452.7839419770867,2461.979334194425,2342.3386992759997,2352.83349609375,PASS,entry=2452.78 vs yf_open=2452.78 (0.00% off)
1,ADANIENT,EXIT (hard_stop),2025-05-08,2281.09,2360.829672363566,2366.6268473739788,2258.880211490965,2284.167724609375,PASS,"stop=2281.09, yf_low=2258.88 (low <= stop, stop fired)"
2,BANDHANBNK,ENTRY,2025-05-05,160.54,160.54339456851753,164.39817963152962,159.8497343619328,162.91175842285156,PASS,entry=160.54 vs yf_open=160.54 (0.00% off)
2,BANDHANBNK,PARTIAL,2025-06-09,184.62,173.71309417007703,185.7630190102997,173.39598372239087,184.55406188964844,PASS,"partial=184.62, yf_high=185.76 (reachable)"
2,BANDHANBNK,EXIT (trailing_stop),2025-06-13,170.94,170.9384442567762,175.28870318984693,170.9384442567762,173.60409545898438,PASS,"stop=170.94, yf_low=170.94 (low <= stop, stop fired)"
3,MANAPPURAM,ENTRY,2025-05-05,229.74,229.74363878918973,230.8632809985911,227.09812575252474,227.86106872558594,PASS,entry=229.74 vs yf_open=229.74 (0.00% off)
3,MANAPPURAM,PARTIAL,2025-06-09,264.21,249.21342139207775,264.88236455484514,248.31976228779462,262.9162902832031,PASS,"partial=264.21, yf_high=264.88 (reachable)"
3,MANAPPURAM,EXIT (trailing_stop),2025-06-17,268.75,275.45741243494206,276.8177646394308,267.0172409386435,268.0201416015625,PASS,"stop=268.75, yf_low=267.02 (low <= stop, stop fired)"
4,TCS,ENTRY,2025-06-18,3431.78,3431.7796073253016,3450.2105407013996,3357.665418209048,3365.75927734375,PASS,entry=3431.78 vs yf_open=3431.78 (0.00% off)
4,TCS,EXIT (hard_stop),2025-07-11,3191.56,3218.0184502225306,3252.247598137654,3180.1813972680684,3184.959716796875,PASS,"stop=3191.56, yf_low=3180.18 (low <= stop, stop fired)"
5,HCLTECH,ENTRY,2025-06-13,1597.58,1597.5774964649079,1640.7293496107186,1596.2349709556595,1625.6741943359375,PASS,entry=1597.58 vs yf_open=1597.58 (0.00% off)
5,HCLTECH,EXIT (hard_stop),2025-07-17,1485.75,1499.3829397985653,1502.4515860638248,1479.0536704150963,1480.4920654296875,PASS,"stop=1485.75, yf_low=1479.05 (low <= stop, stop fired)"
6,DIVISLAB,ENTRY,2025-05-06,6082.3,6082.304900692106,6150.494407352893,5942.939485618964,6133.07373046875,PASS,entry=6082.30 vs yf_open=6082.30 (0.00% off)
6,DIVISLAB,PARTIAL,2025-07-08,6994.65,6970.261661603218,7039.446635250951,6879.674142150791,6906.5517578125,PASS,"partial=6994.65, yf_high=7039.45 (reachable)"
6,DIVISLAB,EXIT (trailing_stop),2025-07-29,6505.03,6580.0,6688.0,6473.0,6676.5,PASS,"stop=6505.03, yf_low=6473.00 (low <= stop, stop fired)"
7,MAXHEALTH,ENTRY,2025-05-07,1121.71,1121.705546696981,1166.6536763509116,1121.705546696981,1150.672119140625,PASS,entry=1121.71 vs yf_open=1121.71 (0.00% off)
7,MAXHEALTH,PARTIAL,2025-06-27,1289.96,1268.5361105020158,1295.305267747444,1253.6532608826458,1277.825439453125,PASS,"partial=1289.96, yf_high=1295.31 (reachable)"
7,MAXHEALTH,EXIT (trailing_stop),2025-08-26,1199.66,1212.0,1217.800048828125,1177.4000244140625,1183.4000244140625,PASS,"stop=1199.66, yf_low=1177.40 (low <= stop, stop fired)"
8,PAGEIND,ENTRY,2025-08-26,46263.93,46263.932167481595,46571.8286675228,44913.16042536534,45196.2265625,PASS,entry=46263.93 vs yf_open=46263.93 (0.00% off)
8,PAGEIND,EXIT (hard_stop),2025-09-22,43025.46,43254.49266897535,43527.6266640148,43006.1890371213,43110.4765625,PASS,"stop=43025.46, yf_low=43006.19 (low <= stop, stop fired)"
9,M&M,ENTRY,2025-07-17,3186.3,3186.300048828125,3238.0,3171.0,3195.0,PASS,entry=3186.30 vs yf_open=3186.30 (0.00% off)
9,M&M,PARTIAL,2025-09-09,3664.25,3702.199951171875,3723.800048828125,3673.10009765625,3696.300048828125,PASS,"partial=3664.25, yf_high=3723.80 (reachable)"
9,M&M,EXIT (trailing_stop),2025-09-26,3407.75,3510.0,3547.5,3391.60009765625,3396.5,PASS,"stop=3407.75, yf_low=3391.60 (low <= stop, stop fired)"
10,ICICIBANK,ENTRY,2025-07-29,1468.57,1468.5685019046516,1478.3927223132807,1464.1029581857863,1474.8201904296875,PASS,entry=1468.57 vs yf_open=1468.57 (0.00% off)
10,ICICIBANK,EXIT (hard_stop),2025-09-26,1365.77,1368.0,1372.699951171875,1357.0,1359.5999755859375,PASS,"stop=1365.77, yf_low=1357.00 (low <= stop, stop fired)"
11,RADICO,ENTRY,2025-06-09,2649.76,2649.7572376239077,2652.053711806738,2617.2043504016806,2646.162353515625,PASS,entry=2649.76 vs yf_open=2649.76 (0.00% off)
11,RADICO,PARTIAL,2025-09-19,3047.22,3016.89990234375,3067.0,3003.0,3052.5,PASS,"partial=3047.22, yf_high=3067.00 (reachable)"
11,RADICO,EXIT (trailing_stop),2025-10-24,3251.85,3290.89990234375,3326.89990234375,3208.10009765625,3220.0,PASS,"stop=3251.85, yf_low=3208.10 (low <= stop, stop fired)"
12,BAJFINANCE,ENTRY,2025-05-05,882.31,882.3057617507878,897.7603872927656,881.1627900057229,887.7223510742188,PASS,entry=882.31 vs yf_open=882.31 (0.00% off)
12,BAJFINANCE,PARTIAL,2025-09-15,1014.65,999.0,1025.699951171875,998.0999755859375,1009.8499755859375,PASS,"partial=1014.65, yf_high=1025.70 (reachable)"
12,BAJFINANCE,EXIT (trailing_stop),2025-10-30,1047.38,1063.0,1066.800048828125,1045.0,1052.300048828125,PASS,"stop=1047.38, yf_low=1045.00 (low <= stop, stop fired)"
13,DRREDDY,ENTRY,2025-09-15,1308.9,1308.9000244140625,1311.800048828125,1292.5,1300.800048828125,PASS,entry=1308.90 vs yf_open=1308.90 (0.00% off)
13,DRREDDY,EXIT (hard_stop),2025-10-30,1196.0,1196.0,1207.199951171875,1180.9000244140625,1202.199951171875,PASS,"stop=1196.00, yf_low=1180.90 (low <= stop, stop fired)"
14,RELIANCE,ENTRY,2025-05-05,1425.31,1425.3074680112338,1433.773654928142,1421.2238021682567,1425.6063232421875,PASS,entry=1425.31 vs yf_open=1425.31 (0.00% off)
14,RELIANCE,EXIT (open_at_end),2025-10-31,1486.4,1490.4000244140625,1497.5,1482.300048828125,1486.4000244140625,PASS,close=1486.40 vs yf_close=1486.40 (0.00% off)
15,HDFCBANK,ENTRY,2025-05-05,956.57,956.5700467268101,962.9833580251333,953.2647488384409,955.4847412109375,PASS,entry=956.57 vs yf_open=956.57 (0.00% off)
15,HDFCBANK,EXIT (open_at_end),2025-10-31,987.3,994.0,1004.4500122070312,981.1500244140625,987.2999877929688,PASS,close=987.30 vs yf_close=987.30 (0.00% off)
16,BHARTIARTL,ENTRY,2025-05-05,1852.51,1852.5132040042204,1857.9676058361385,1833.869018409988,1850.52978515625,PASS,entry=1852.51 vs yf_open=1852.51 (0.00% off)
16,BHARTIARTL,EXIT (open_at_end),2025-10-31,2054.5,2056.0,2073.800048828125,2051.699951171875,2054.5,PASS,close=2054.50 vs yf_close=2054.50 (0.00% off)
17,MARUTI,ENTRY,2025-05-05,12356.26,12356.263806546245,12356.263806546245,12229.634361611264,12324.6064453125,PASS,entry=12356.26 vs yf_open=12356.26 (0.00% off)
17,MARUTI,PARTIAL,2025-08-19,14209.7,14070.0,14270.0,13979.0,14250.0,PASS,"partial=14209.70, yf_high=14270.00 (reachable)"
17,MARUTI,EXIT (open_at_end),2025-10-31,16186.0,16204.0,16516.0,15949.0,16186.0,PASS,close=16186.00 vs yf_close=16186.00 (0.00% off)
18,MARICO,ENTRY,2025-05-06,715.52,715.523313557244,720.5234988156317,706.5130206953615,712.9984130859375,PASS,entry=715.52 vs yf_open=715.52 (0.00% off)
18,MARICO,EXIT (open_at_end),2025-10-31,719.95,721.5,728.6500244140625,718.6500244140625,719.9500122070312,PASS,close=719.95 vs yf_close=719.95 (0.00% off)
19,ADANIPORTS,ENTRY,2025-05-06,1343.46,1343.4638503496399,1349.7333969096571,1308.6333060813158,1314.4052734375,PASS,entry=1343.46 vs yf_open=1343.46 (0.00% off)
19,ADANIPORTS,EXIT (open_at_end),2025-10-31,1451.5,1457.9000244140625,1461.699951171875,1443.0,1451.5,PASS,close=1451.50 vs yf_close=1451.50 (0.00% off)
20,LT,ENTRY,2025-05-08,3279.51,3279.5142312030375,3334.897609303595,3269.30935651123,3293.1865234375,PASS,entry=3279.51 vs yf_open=3279.51 (0.00% off)
20,LT,PARTIAL,2025-09-26,3771.44,3664.0,3794.89990234375,3661.0,3729.5,PASS,"partial=3771.44, yf_high=3794.90 (reachable)"
20,LT,EXIT (open_at_end),2025-10-31,4030.9,4001.10009765625,4045.89990234375,3980.199951171875,4030.89990234375,PASS,close=4030.90 vs yf_close=4030.90 (0.00% off)
21,APOLLOHOSP,ENTRY,2025-07-11,7335.86,7335.8588421998875,7364.78337060557,7140.368926078721,7170.78955078125,PASS,entry=7335.86 vs yf_open=7335.86 (0.00% off)
21,APOLLOHOSP,EXIT (open_at_end),2025-10-31,7670.82,7822.614882197142,7822.614882197142,7640.856180734117,7670.81640625,PASS,close=7670.82 vs yf_close=7670.82 (0.00% off)
22,SBILIFE,ENTRY,2025-09-22,1852.42,1852.4248906479431,1877.0905533695443,1850.2279934463306,1855.12109375,PASS,entry=1852.42 vs yf_open=1852.42 (0.00% off)
22,SBILIFE,EXIT (open_at_end),2025-10-31,1952.99,1962.272246202413,1975.9531795148296,1949.0906188050606,1952.985107421875,PASS,close=1952.99 vs yf_close=1952.99 (0.00% off)
23,SBIN,ENTRY,2025-09-26,846.74,846.7374895737396,849.0458566598143,837.8968429308584,841.7769165039062,PASS,entry=846.74 vs yf_open=846.74 (0.00% off)
23,SBIN,EXIT (open_at_end),2025-10-31,920.41,918.3467523280527,929.9378103922294,913.7790609093079,920.4095458984375,PASS,close=920.41 vs yf_close=920.41 (0.00% off)
24,TATACONSUM,ENTRY,2025-10-24,1163.3,1163.300048828125,1163.300048828125,1144.4000244140625,1155.300048828125,PASS,entry=1163.30 vs yf_open=1163.30 (0.00% off)
24,TATACONSUM,EXIT (open_at_end),2025-10-31,1165.0,1171.0,1183.5,1157.800048828125,1165.0,PASS,close=1165.00 vs yf_close=1165.00 (0.00% off)
25,BAJFINANCE,ENTRY,2025-10-30,1063.0,1063.0,1066.800048828125,1045.0,1052.300048828125,PASS,entry=1063.00 vs yf_open=1063.00 (0.00% off)
25,BAJFINANCE,EXIT (open_at_end),2025-10-31,1042.8,1052.0,1069.449951171875,1041.4000244140625,1042.800048828125,PASS,close=1042.80 vs yf_close=1042.80 (0.00% off)
